epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,852.555,0.27205,0.58036,0.82206,0.96508,1,0.995,0.9922,0.20699,0.26437,0.77011,0.000210563,0.000210563,0.000210563
45,871.611,0.27808,0.57438,0.82714,0.93061,1,0.995,0.98721,0.1918,0.2481,0.76981,0.000208622,0.000208622,0.000208622
46,890.365,0.25914,0.55283,0.81508,0.95099,1,0.995,0.99397,0.18744,0.24335,0.7655,0.000206682,0.000206682,0.000206682
47,910.607,0.28115,0.55573,0.82528,0.92027,1,0.995,0.9926,0.18704,0.26737,0.76953,0.000204742,0.000204742,0.000204742
48,929.203,0.25916,0.5429,0.81883,0.96328,1,0.995,0.99198,0.18471,0.24556,0.7677,0.000202801,0.000202801,0.000202801
49,948.81,0.26908,0.52174,0.8212,0.97105,0.99596,0.995,0.99397,0.18252,0.23588,0.76904,0.000200861,0.000200861,0.000200861
50,967.748,0.2653,0.52473,0.81989,0.96649,0.99224,0.995,0.99397,0.17397,0.23917,0.77163,0.00019892,0.00019892,0.00019892
51,986.687,0.26459,0.52662,0.8253,0.96132,1,0.995,0.99324,0.17933,0.24301,0.76684,0.00019698,0.00019698,0.00019698
52,1006.54,0.25872,0.5105,0.81945,0.96323,1,0.995,0.99128,0.18437,0.23887,0.77074,0.00019504,0.00019504,0.00019504
53,1025.38,0.26921,0.51794,0.8224,0.96489,1,0.995,0.98466,0.19124,0.23537,0.76825,0.000193099,0.000193099,0.000193099
54,1045.24,0.25282,0.49401,0.81519,0.95687,1,0.995,0.99133,0.18563,0.23178,0.76981,0.000191159,0.000191159,0.000191159
55,1064.06,0.25114,0.47733,0.81926,0.96775,1,0.995,0.99229,0.18,0.24339,0.76519,0.000189218,0.000189218,0.000189218
56,1082.55,0.26617,0.50223,0.82276,0.95267,1,0.995,0.99241,0.18054,0.24207,0.76644,0.000187278,0.000187278,0.000187278
57,1102.6,0.25652,0.49666,0.81984,0.95189,1,0.995,0.99327,0.17428,0.24795,0.76731,0.000185338,0.000185338,0.000185338
58,1120.89,0.24523,0.47058,0.81866,0.96375,1,0.995,0.99399,0.16352,0.23202,0.76477,0.000183397,0.000183397,0.000183397
59,1139.65,0.25289,0.48742,0.82622,0.96361,1,0.995,0.995,0.16737,0.21856,0.76583,0.000181457,0.000181457,0.000181457
60,1159.67,0.24569,0.44019,0.81881,0.96305,1,0.995,0.994,0.17784,0.22964,0.7661,0.000179516,0.000179516,0.000179516
61,1178.01,0.25545,0.45538,0.8308,0.94587,1,0.995,0.99401,0.15771,0.21724,0.76361,0.000177576,0.000177576,0.000177576
62,1197.75,0.24253,0.44426,0.81846,0.96016,0.99955,0.995,0.995,0.16834,0.22132,0.77011,0.000175636,0.000175636,0.000175636
63,1216.6,0.2421,0.43987,0.82306,0.95367,1,0.995,0.99406,0.18842,0.24391,0.76473,0.000173695,0.000173695,0.000173695
64,1235.03,0.23919,0.4341,0.82662,0.96573,1,0.995,0.99272,0.17113,0.21818,0.76258,0.000171755,0.000171755,0.000171755
65,1255.29,0.24271,0.43539,0.81373,0.96806,0.99641,0.995,0.99309,0.16229,0.22335,0.76509,0.000169814,0.000169814,0.000169814
66,1274.28,0.25065,0.44868,0.8224,0.95818,1,0.995,0.99303,0.1673,0.20517,0.7645,0.000167874,0.000167874,0.000167874
67,1293.26,0.24616,0.44635,0.81821,0.96823,1,0.995,0.99097,0.16546,0.21425,0.76535,0.000165934,0.000165934,0.000165934
68,1312.93,0.23827,0.41572,0.81613,0.96048,0.99728,0.995,0.99067,0.16522,0.20807,0.76691,0.000163993,0.000163993,0.000163993
69,1331.72,0.23344,0.40692,0.81426,0.96784,1,0.995,0.99402,0.16327,0.20713,0.76727,0.000162053,0.000162053,0.000162053
70,1352.21,0.2343,0.4193,0.80975,0.95327,1,0.995,0.99409,0.16193,0.2069,0.76402,0.000160112,0.000160112,0.000160112
71,1371.51,0.24044,0.41673,0.82039,0.94884,1,0.995,0.995,0.15702,0.18974,0.76476,0.000158172,0.000158172,0.000158172
72,1391.52,0.24241,0.41711,0.81572,0.97193,0.99742,0.995,0.99406,0.15007,0.19408,0.76512,0.000156232,0.000156232,0.000156232
73,1410.59,0.237,0.41378,0.8186,0.96341,1,0.995,0.993,0.16007,0.20557,0.76727,0.000154291,0.000154291,0.000154291
74,1429.25,0.23431,0.41021,0.81109,0.95818,0.99944,0.995,0.99162,0.16693,0.21572,0.76795,0.000152351,0.000152351,0.000152351
75,1449.17,0.23377,0.39615,0.81826,0.96314,1,0.995,0.99404,0.16454,0.21011,0.76644,0.00015041,0.00015041,0.00015041
76,1467.82,0.23705,0.42069,0.81679,0.9369,1,0.995,0.995,0.15854,0.20099,0.7633,0.00014847,0.00014847,0.00014847
