epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,924.759,0.28339,0.59835,0.82551,0.94584,1,0.995,0.98974,0.17973,0.24039,0.7941,0.000204833,0.000204833,0.000204833
45,944.932,0.28481,0.60038,0.82491,0.95795,1,0.995,0.99056,0.17727,0.25038,0.79461,0.000202946,0.000202946,0.000202946
46,966.572,0.29157,0.58642,0.83299,0.94262,1,0.995,0.98868,0.18788,0.26573,0.79669,0.000201058,0.000201058,0.000201058
47,986.324,0.28439,0.59176,0.825,0.96965,1,0.995,0.98501,0.18305,0.25153,0.79689,0.00019917,0.00019917,0.00019917
48,1008.3,0.28261,0.57017,0.83215,0.95865,1,0.995,0.99064,0.17454,0.25488,0.795,0.000197283,0.000197283,0.000197283
49,1028.22,0.27462,0.5682,0.82236,0.95075,1,0.995,0.99225,0.17311,0.24123,0.79427,0.000195395,0.000195395,0.000195395
50,1049.83,0.28248,0.56424,0.82659,0.95732,1,0.995,0.9851,0.17508,0.25218,0.79297,0.000193508,0.000193508,0.000193508
51,1069.9,0.27557,0.5609,0.82663,0.96702,1,0.995,0.98889,0.18112,0.25363,0.7982,0.00019162,0.00019162,0.00019162
52,1091.53,0.2808,0.54343,0.83046,0.97019,1,0.995,0.99235,0.17918,0.24954,0.79876,0.000189732,0.000189732,0.000189732
53,1111.46,0.27394,0.55171,0.8202,0.96617,0.98727,0.995,0.99061,0.17974,0.24528,0.7968,0.000187845,0.000187845,0.000187845
54,1132.71,0.2856,0.54855,0.83467,0.95756,0.99846,0.995,0.99171,0.17835,0.24612,0.80014,0.000185957,0.000185957,0.000185957
55,1153.01,0.26652,0.51578,0.82142,0.96601,1,0.995,0.9917,0.18236,0.24277,0.79778,0.00018407,0.00018407,0.00018407
56,1174.28,0.27191,0.52902,0.82096,0.94599,1,0.995,0.98706,0.18298,0.25413,0.79746,0.000182182,0.000182182,0.000182182
